,Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
83,6/7/2013,JDR,Black Kettle NG,BKNG-PC4,NA,BKNGPC04,7,,,14:55,35.61734,-99.70589,75,10-15 S,,,
84,6/7/2013,JDR,Black Kettle NG,BKNG-PC9,NA,BKNGPC09,8,,,15:43,35.59875,-99.65285,,,,,
85,6/7/2013,JDR,Ellis Co WMA,ELIS-PC1,NA,ELIS-PC01,4,,,6:35,36.0997,-99.91707,,,,,
86,6/7/2013,JDR,Ellis Co WMA,ELIS-PC6,NA,ELIS-PC06,5,,,7:25,36.05701,-99.89209,,,,,
87,6/7/2013,MDF,Black Kettle NG,BKNG-PC11,NA,BKNGPC11,50,,,16:16,35.6099,-99.59411,0%,10 to 15,,,
88,6/7/2013,MDF,Black Kettle NG,BKNG-PC5,NA,BKNGPC05,48,,,14:53,35.61718,-99.69678,0%,10 to 15,,,
89,6/7/2013,MDF,Black Kettle NG,BKNG-PC7,NA,BKNGPC07,49,,,15:38,35.60933,-99.64439,0%,10 to 15,,,
90,6/7/2013,MDF,Ellis Co. WMA,BKNG-PC2,NA,BKNG-PC02,47,,,10:51,35.78582,-99.85393,30%,0 to 5,,,
91,6/7/2013,MDF,Ellis Co. WMA,ELIS-PC2,NA,ELIS-PC02,45,,,6:30,36.09158,-99.91681,30%,0 to 5,,,
92,6/7/2013,MDF,Ellis Co. WMA,ELIS-PC5,NA,ELIS-PC05,46,,,7:23,36.05571,-99.8993,30%,0 to 5,,,
93,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC1,NA,TGPP-PC01,79,,,6:49,36.84027,-96.45525,50%,0 to 5,,,
94,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC10,NA,TGPPPC10,87,,,8:58,36.88141,-96.49261,30%,5 to 10,,,
95,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC11,NA,TGPPPC11,88,,,9:14,36.88883,-96.48856,30%,5 to 10,,,
96,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC2,NA,TGPP-PC02,80,,,7:04,36.84035,-96.46481,50%,0 to 5,,,
97,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC3,NA,TGPP-PC03,81,,,7:17,36.84045,-96.47447,50%,0 to 5,,,
98,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC5,NA,TGPP-PC05,82,,,7:33,36.84579,-96.48058,50%,0 to 5,,,
99,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC6,NA,TGPP-PC06,83,,,7:48,36.85324,-96.48377,50%,0 to 5,,,
100,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC7,NA,TGPP-PC07,84,,,8:06,36.85777,-96.49138,50%,0 to 5,,,
101,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC8,NA,TGPP-PC08,85,,,8:25,36.86581,-96.49264,50%,0 to 5,,,
102,7/8/2013,MDF,Tallgrass Prairie Preserve,TGPP-PC9,NA,TGPP-PC09,86,,,8:38,36.87362,-96.49261,50%,0 to 5,,,
